time,test_0,test_1,test_2,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,test_11,test_12,test_13,test_14
0,1.0176405234596766,1.017886284734303,0.9968821632651248,1.000011085547122,1.0047298583148998,0.9968767151845646,1.000794284438062,0.9994803575049447,1.0132921217264919,1.0128560541523228,0.987359473352236,0.9968114649489187,1.0067641326575447,1.0140483956602189,1.0049671415301122
120,0.9906668697754221,0.984412993264517,0.9624443569536335,0.971349074365186,0.9792147340181035,0.9650175585355938,0.9713319912437558,0.9680583985269825,0.9801263323206898,0.9802107704057049,0.9545246159532507,0.9640438846972258,0.9738758644915629,0.9864534345736911,0.9794520172333161
168,0.9799523998255342,0.9713302014802399,0.9488342585836592,0.9599527406720977,0.9692431082791816,0.9525366978857648,0.9594045844472131,0.9556988332180212,0.9670542309037985,0.9671290507285702,0.9416208507510873,0.9507383510035456,0.9607309725892804,0.9754020628506376,0.9694803914943941
216,0.9693899304549065,0.9585201983089982,0.9354810180234139,0.9487246991929612,0.9594426221744579,0.9403002675865328,0.9476092365525721,0.9435677335222749,0.9542286727123475,0.9542426868657296,0.9289667636917224,0.937592693839349,0.947791564331201,0.9644902355477092,0.9596799053896704
288,0.9538625139823593,0.9398338492910987,0.9159740352017524,0.9322353457658545,0.9450675573809022,0.9224224955633743,0.9302345726879329,0.9258244968906751,0.9354853469413444,0.9353429690110657,0.9104801585219264,0.918264504672429,0.9288269745841706,0.9484300152067947,0.9453048405961147
336,0.9437310800910783,0.9277293006613291,0.9033277941031014,0.9214886394757357,0.9357002774073152,0.9108238819239213,0.918888280109549,0.9143027837699249,0.9233268771892806,0.9230496818200528,0.898490098472212,0.9056703095388643,0.9164983341729687,0.9379433026898193,0.9359375606225278
384,0.9337785434196673,0.9159033981221332,0.8909690510558967,0.910942147201974,0.9265034359805434,0.899478692235458,0.9077417331855735,0.9030259077657377,0.9114378356486962,0.9110084105375899,0.8867661130746857,0.8933218163014073,0.9044269266373517,0.9276383693096238,0.926740719195756
456,0.9191849994405342,0.8986754871417627,0.8729635983120771,0.8954975763854284,0.9130214616452198,0.882927020761581,0.8914048442266469,0.8865629038795458,0.8941025365960773,0.8934212944614957,0.8696708305004849,0.8752694498183295,0.8868028566961067,0.9125251584698019,0.9132587448604323
552,0.9003446752779115,0.8766255036137925,0.8499245990775044,0.875595477902635,0.8956130804643868,0.8617008170761058,0.8703411345175895,0.8654333894539011,0.8718935599207573,0.8708483957264525,0.847766039056522,0.8520800517706374,0.8641932816661709,0.8930139961595599,0.8958503636795994
624,0.8866669715177596,0.8607485206417375,0.833344726834311,0.8611741207852198,0.8829672631606466,0.8463878925895383,0.8550769469321926,0.8501795715463716,0.8558901386847323,0.8545601680440535,0.8319782133027974,0.8353390298123398,0.8478851914254509,0.8788524244062772,0.8832045463758591
672,0.8777583892037327,0.8504652667439558,0.8226119305048799,0.8517938227093987,0.8747255402358021,0.8364569381249458,0.8451502212971267,0.8402825711422773,0.8455206158707375,0.8439979874237302,0.8217463679961259,0.824481454014592,0.8373128005212104,0.869631105183867,0.8749628234510146
720,0.8690139100775696,0.8404150129415131,0.8121274198487239,0.8425961819179769,0.8666307623471522,0.8267410836350603,0.8354192764112338,0.8305967920832625,0.835383192404214,0.8336670137006151,0.8117418053889116,0.813861063848381,0.8269737315836767,0.8605819883728043,0.8668680455623647
792,0.8561974708284491,0.825761568444039,0.7968510086987965,0.8291334681788369,0.8547565219917955,0.8125576002821391,0.8211820859605002,0.8164519213756057,0.8205983067244741,0.8185920842153849,0.7971473111281494,0.79836426679781,0.8118901332977443,0.8473239763314675,0.8549938052070081
840,0.8478483434102362,0.8162641731487857,0.7869569487853296,0.8203749205958175,0.8470140110569246,0.8033536324382101,0.8119245433912821,0.8072698121815627,0.8110133662858747,0.8088150143312631,0.7876834872474464,0.7883146108713435,0.8021093160858935,0.8386907541692724,0.8472512942721372
888,0.8396513146090853,0.8069764712094188,0.7772871802386927,0.811784915818143,0.8394065333410472,0.7943443683349095,0.8028495187576712,0.798279617609286,0.8016385346025069,0.7992497098505909,0.7784252406226331,0.7784839056005646,0.7925416917307267,0.8302178237675433,0.8396438165562597
960,0.8276334316885635,0.7934244088467457,0.7631886759270634,0.7992071168218349,0.8282414191029749,0.781183462008206,0.7895703705094664,0.7851426058840103,0.7879570745316387,0.7852866272400849,0.7649104088968889,0.7641364654829278,0.7785774852970355,0.8178012858568899,0.8284787023181874
1008,0.8198016551700623,0.7846338786102124,0.7540511014432857,0.7910209258846296,0.8209574817023707,0.7726370428499229,0.7809339412642795,0.7766092851186553,0.7790814227751136,0.7762264720889112,0.7561405184716813,0.7548293166448264,0.769517963597151,0.8097137180500621,0.8211947649175833
