time,test_0,test_1,test_2,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,test_11,test_12,test_13,test_14
0,1.0176405234596766,1.0005056170714295,1.0009120471661983,1.0047298583148998,1.0012794872113393,1.0088389311261734,1.0132921217264919,1.0044633237787004,0.9965110554901058,1.0067641326575447,0.9939245230278877,0.9924938528274413,0.9900636868007154,1.0051947584061416,0.9896235682449742
120,0.9711702574442409,0.9491031809278273,0.9581329274979801,0.9539284303085468,0.9347373860436414,0.9605655591603856,0.948572219730096,0.9522310557881515,0.947881138234571,0.9562828188875684,0.910056564414438,0.9394325590870128,0.9289740968908727,0.9491754664892751,0.9372432938537297
168,0.9538297224661209,0.9299037719666569,0.9415797682421981,0.9351551165255454,0.9095314532189446,0.9426613371945615,0.9244273568394452,0.9326554748891193,0.9295392516245897,0.9377273886577937,0.8773392227089308,0.9195019107023823,0.9060101490127124,0.9273349007104105,0.9175489770599142
216,0.9371228884559965,0.9114451735498178,0.9254797323744355,0.9171407371199439,0.8854073145112481,0.9254477162301371,0.9013678873901128,0.9138294726385521,0.9118460279659875,0.919938975329713,0.8461284938663414,0.9003332138706157,0.8840062402631169,0.9061968784114178,0.8985975336418203
288,0.9131705082092474,0.8850644972985102,0.9021898799430386,0.8914308722144462,0.8512124540886948,0.9008241816006383,0.8687170186437285,0.8869235054095465,0.8864694569747706,0.8945691017766481,0.8022680170256434,0.8729427261433091,0.8527341724130052,0.8758673043708056,0.8715003788019079
336,0.8978934391087061,0.8682959613696083,0.887228337832543,0.8751018536213175,0.8296859345347068,0.8851505092489013,0.8481652248198156,0.8698246719579572,0.8702884098204362,0.8784623775221352,0.7749616596505645,0.8555420413740246,0.8329824583363733,0.8565624338576873,0.8542755806205192
384,0.8831350996170944,0.8521422707315374,0.8727063604542478,0.8593766594385774,0.8091196601863686,0.8700309355275743,0.8285228743263969,0.8533573538487002,0.854665474164357,0.8629536999281259,0.7491302298279143,0.8387899389363641,0.814056715170213,0.8379703522620426,0.8376851222555491
456,0.8619122678232615,0.8289948802149198,0.8517188454724797,0.836846403949157,0.7799610983028321,0.8483246671000946,0.8006506527067324,0.8297707034234101,0.8322210053384236,0.8407350985965758,0.7129778613782816,0.8148072958180689,0.7871217313935343,0.8113671537942393,0.813920756554019
552,0.8351970725314622,0.8000002091331292,0.8251462622198813,0.8086209417364804,0.7439827756302003,0.8210585642088026,0.7662033887124271,0.8002464641252399,0.8040151752595776,0.8128980544373452,0.6691890669751741,0.7848100346115023,0.7537052465116199,0.7781550227337415,0.7841747218214864
624,0.8162530809194852,0.7795396120770772,0.8062124619453999,0.7886953557095043,0.7189732790439897,0.8017612165752472,0.7422112308768172,0.7794281813316036,0.7840522659137575,0.7932427553015531,0.6393119474704025,0.7636750217798809,0.7303485146104207,0.754820147395718,0.7632021550025418
